Filename,Genres,Release Year
Nico_BlindMelon,electronic rock alternativerock,1996-10-31 00:00:00
Vs._PearlJam,rock heavymetal symphonicrock progrock,1993-10-19 00:00:00
KISS40_KISS,rock thrash speedmetal hardrock heavymetal,2014-01-01 00:00:00
California_blink-182,rock hardrock,2016-07-01 00:00:00
Precambrian_TheOcean,rock heavymetal hardrock,2007-01-01 00:00:00
Vitalogy_PearlJam,rock alternativerock,1994-11-22 00:00:00
Kill'EmAll(Remastered)_Metallica,rock heavymetal,1983-07-25 00:00:00
CreaturesOfTheNight(RemasteredVersion)_KISS,rock symphonicrock speedmetal heavymetal,1982-10-13 00:00:00
Ten_PearlJam,rock grunge,1991-08-27 00:00:00
Californication_RedHotChiliPeppers,rock heavymetal progrock symphonicrock,1999-06-08 00:00:00
Sunbather_Deafheaven,rock thrash speedmetal heavymetal,2013-05-28 00:00:00
ForMyFriends_BlindMelon,electronic rock alternativerock idm experimental,2008-04-22 00:00:00
"Garage,Inc._Metallica",rock alternativerock grunge,1998-11-24 00:00:00
FreakyStyley_RedHotChiliPeppers,rock alternativerock funkmetal,1985-08-16 00:00:00
ADramaticTurnOfEvents_DreamTheater,rock hardrock,2011-08-25 00:00:00
Aeolian_TheOcean,rock emo poppunk,2006-03-07 00:00:00
Mother'sMilk_RedHotChiliPeppers,rock alternativerock funkmetal,1989-08-16 00:00:00
CountdownToExtinction_Megadeth,rock heavymetal,1992-07-14 00:00:00
OkComputer_Radiohead,rock alternativerock,1997-05-28 00:00:00
OU812_VanHalen,rock folkworldcountry folkrock indierock,1988-05-24 00:00:00
Anthropocentric_TheOcean,rock hardrock heavymetal,2011-04-12 00:00:00
RustInPeace_Megadeth,rock funksoul funk rockroll,1990-10-04 00:00:00
ReignInBlood_Slayer,rock hardrock,1986-01-01 00:00:00
MasterOfPuppets_Metallica,rock hardrock progrock classicrock,1986-03-03 00:00:00
FairWarning(USInternetRelease)_VanHalen,rock alternativerock hardrock,1981-01-01 00:00:00
Pelagial_TheOcean,rock alternativerock hardrock,2013-04-30 00:00:00
PsychoCircus_KISS,rock speedmetal powermetal,1998-01-01 00:00:00
TheWorldNeedsAHero_Megadeth,rock hardrock,2001-05-14 00:00:00
TwilightDementia_DragonForce,rock ,2010-09-14 00:00:00
AmericanIdiot_GreenDay,rock progrock heavymetal,2004-09-21 00:00:00
Youthanasia_Megadeth,rock thrash speedmetal,1994-10-28 00:00:00
KidA_Radiohead,rock hardrock heavymetal,2000-10-01 00:00:00
YellowSubmarine(Remastered)_TheBeatles,rock hardrock,1969-01-17 00:00:00
FutureHearts_AllTimeLow,rock heavymetal progrock,2015-04-03 00:00:00
ThankYou_StoneTemplePilots,rock poprock punk,2003-11-10 00:00:00
Risk_Megadeth,rock thrash speedmetal,1999-08-31 00:00:00
UseYourIllusion1_GunsNRoses,rock hardrock classicrock,1991-01-01 00:00:00
BornAndRaised_JohnMayer,rock hardrock heavymetal,2012-05-18 00:00:00
MyHeadIsAnAnimal_OfMonstersAndMen,rock hardrock,2012-01-01 00:00:00
13_BlackSabbath,rock progrock,2013-01-01 00:00:00
Mutter_Rammstein,rock progrock heavymetal,2001-04-02 00:00:00
HeavenAndHell(RemasteredEdition)_BlackSabbath,rock powermetal,1980-01-01 00:00:00
Inhibition_DotHacker,rock hardrock heavymetal,2012-05-01 00:00:00
"Death,PierceMe_Silencer",rock thrash speedmetal,2001-02-06 00:00:00
SonicFirestorm_DragonForce,rock progrock,2004-01-01 00:00:00
TheAstonishing_DreamTheater,rock alternativerock,2016-01-29 00:00:00
BlindMelon_BlindMelon,rock alternativerock poprock funkmetal,1992-09-14 00:00:00
TheRedHotChiliPeppers_RedHotChiliPeppers,rock thrash,1984-01-01 00:00:00
MonumentsToAnElegy_TheSmashingPumpkins,rock alternativerock funkmetal,2014-12-09 00:00:00
S&M_Metallica,rock bluesrock heavymetal,1999-11-23 00:00:00
Sabotage(RemasteredEdition)_BlackSabbath,rock alternativerock acoustic,1975-07-28 00:00:00
AChangeOfSeasons_DreamTheater,rock thrash speedmetal,1995-08-29 00:00:00
Parachutes_Coldplay,rock heavymetal progrock,2000-07-10 00:00:00
ThreeCheersForSweetRevenge_MyChemicalRomance,rock deathmetal hardcore postrock experimental doommetal,2004-06-08 00:00:00
5150_VanHalen,rock alternativerock indierock,1986-03-24 00:00:00
ByTheWay(DeluxeVersion)_RedHotChiliPeppers,rock alternativerock,2002-07-09 00:00:00
TheSystemHasFailed_Megadeth,rock alternativerock funkmetal,2004-09-14 00:00:00
Awake_DreamTheater,rock heavymetal,1994-10-03 00:00:00
OneHotMinute_RedHotChiliPeppers,rock hardrock heavymetal,1995-09-12 00:00:00
Kiss(RemasteredVersion)_KISS,rock funkmetal alternativerock,1974-02-18 00:00:00
Soup_BlindMelon,rock blackmetal shoegaze,1995-08-03 00:00:00
Painkiller_JudasPriest,rock hardrock glam,1990-09-26 00:00:00
Load_Metallica,rock gothrock emo punk,1996-06-04 00:00:00
Th1rt3en_Megadeth,rock poppunk,2011-10-26 00:00:00
VanHalen(Reissue)_VanHalen,rock thrash speedmetal hardrock heavymetal,1978-02-07 00:00:00
BlackSabbath(RemasteredEdition)_BlackSabbath,rock thrash,1970-02-13 00:00:00
Paranoid(RemasteredEdition)_BlackSabbath,rock bluesrock classicrock hardrock,1970-09-18 00:00:00
AppetiteForDestruction_GunsN'Roses,rock heavymetal,1987-01-01 00:00:00
"YouWantedTheBest,YouGotTheBest!!_KISS",rock alternativerock grunge hardrock,1996-06-21 00:00:00
TheBlackParade_MyChemicalRomance,rock alternativerock grunge,2006-10-23 00:00:00
DiverDown_VanHalen,rock heavymetal,1982-01-01 00:00:00
SystematicChaos_DreamTheater,rock ,2007-06-04 00:00:00
BornAgain_BlackSabbath,rock pop poppunk alternativerock,1983-08-07 00:00:00
WomenAndChildrenFirst(USInternetRelease)_VanHalen,rock alternativerock funkmetal,1980-01-01 00:00:00
LedZeppelinII_LedZeppelin,rock alternativerock,1969-10-22 00:00:00
CrypticWritings_Megadeth,rock alternativerock,1997-06-17 00:00:00
UseYourIllusionII_GunsN'Roses,rock thrash,1991-01-01 00:00:00
MetropolisPart2:ScenesFromAMemory_DreamTheater,rock hardcore doommetal experimental sludgemetal,1999-01-01 00:00:00
Reunion_BlackSabbath,rock punk,1998-10-05 00:00:00
KillingIsMyBusiness...AndBusinessIsGood!_Megadeth,rock alternativerock experimental,1985-01-01 00:00:00
I'mWithYou_RedHotChiliPeppers,rock alternativerock poppunk punk,2011-08-29 00:00:00
MobRules(RemasteredEdition)_BlackSabbath,rock alternativerock,1981-11-04 00:00:00
"SoFar,SoGood...SoWhat!_Megadeth",rock hardrock,1988-01-26 00:00:00
Facelift_AliceInChains,rock grunge,1990-01-01 00:00:00
StadiumArcadium_RedHotChiliPeppers,rock heavymetal,2006-05-09 00:00:00
HiddenTreasures_Megadeth,rock bluesrock folkrock countryrock,1995-01-01 00:00:00
TheColourAndTheShape_FooFighters,rock poprock,1997-05-20 00:00:00
TrainOfThought_DreamTheater,rock hardrock heavymetal,2003-11-10 00:00:00
StillAlive...AndWell?_Megadeth,rock grunge alternativerock,2002-01-01 00:00:00
FallingIntoInfinity_DreamTheater,rock alternativerock,1997-09-12 00:00:00
GhostStories_Coldplay,rock powermetal,2014-05-19 00:00:00
HellAwaits_Slayer,rock hardrock,1985-01-01 00:00:00
ShowNoMercy_Slayer,rock progrock,1983-01-01 00:00:00
Dookie_GreenDay,rock hardrock heavymetal,1994-02-01 00:00:00
InUtero-20thAnniversary-DeluxeEdition_Nirvana,rock alternativerock,1993-09-21 00:00:00
1984_VanHalen,rock heavymetal,1984-01-03 00:00:00
MaximumOverload_DragonForce,rock hardcore postrock progrock experimental,2014-08-19 00:00:00
BloodSugarSexMagik(DeluxeVersion)_RedHotChiliPeppers,rock progrock,1991-09-24 00:00:00
Wither_DreamTheater,rock heavymetal,2009-09-14 00:00:00
SiameseDream_SmashingPumpkins,rock alternativerock,1993-01-01 00:00:00
ImagesAndWords_DreamTheater,rock alternativerock hardrock,1992-06-30 00:00:00
Adore(2014Remaster)_TheSmashingPumpkins,rock heavymetal thrash hardrock,1998-01-01 00:00:00
BandOfGypsys(Live)_JimiHendrix,albumrock bluesrock classicfunkrock classicrock folkrock hardrock psychedelicrock rock singersongwriter,1970-03-25 00:00:00
TheBends_Radiohead,alternativerock indierock melancholia permanentwave rock,1995-03-28 00:00:00
AMoonShapedPool_Radiohead,alternativerock indierock melancholia permanentwave rock,2016-05-08 00:00:00
IntegrityBlues_JimmyEatWorld,alternativerock emo neomellow popchristmas poppunk poprock postgrunge punkchristmas,2016-10-21 00:00:00
UntilTheHunter_HopeSandovalAndTheWarmInventions,chamberpop chamberpsych dreampop freakfolk lofi melancholia newweirdamerica shoegaze slowcore,2016-11-04 00:00:00
EmptySpaceMeditation_Urfaust,atmosphericblackmetal avantgardemetal blackdeath blackmetal chaoticblackmetal darkblackmetal doommetal neofolk paganblackmetal postdoommetal voidgaze,2016-10-28 00:00:00
TheDeanerAlbum_DeanWeenGroup,rock hardrock,2016-10-21 00:00:00
Meliora_GhostB.C.,alternativemetal groovemetal metal,2015-01-01 00:00:00
ThisHouseIsNotForSale_BonJovi,albumrock glammetal hardrock heavychristmas rock,2016-11-04 00:00:00
Incunabula_Autechre,electronic techno idm electro ambient,1993-11-29 00:00:00
EvilInvadersEP_EvilInvaders,rock speedmetal,2013-02-05 00:00:00
Animals_PinkFloyd,rock progrock,1977-01-23 00:00:00
BigBoat_Phish,rock psychedelicrock progrock,2016-10-07 00:00:00
Chicago'78_FrankZappa,jazz rock progrock fusion artrock,2016-10-14 00:00:00
Salisbury_UriahHeep,rock hardrock psychedelicrock progrock,2016-10-28 00:00:00
WishYouWereHere_PinkFloyd,rock classicrock progrock,1975-09-12 00:00:00
TheWall_PinkFloyd,rock alternativerock progrock,1979-11-30 00:00:00
Meddle_PinkFloyd,rock psychedelicrock progrock ethereal,1971-11-11 00:00:00
Who'sNext(DeluxeEdition)_TheWho,rock poprock mod,1971-08-14 00:00:00
AtomHeartMother_PinkFloyd,rock psychedelicrock progrock symphonicrock,1970-10-05 00:00:00
Aqualung_JethroTull,rock classicrock progrock,1971-03-19 00:00:00
SeasonsInTheAbyss_Slayer,rock thrash,1990-01-01 00:00:00
DeathMagnetic_Metallica,rock thrash heavymetal,2008-09-12 00:00:00
VulgarDisplayOfPower_Pantera,rock thrash heavymetal,1992-02-21 00:00:00
ChaosA.D.(Reissue)_Sepultura,rock thrash deathmetal hardcore,1993-01-01 00:00:00
Arise(Reissue)_Sepultura,rock thrash deathmetal,1991-01-01 00:00:00
CowboysFromHell_Pantera,rock thrash speedmetal,1990-07-20 00:00:00
BeneathTheRemains(Reissue)_Sepultura,rock thrash,1989-01-01 00:00:00
Scum_NapalmDeath,rock thrash hardcore grindcore,1987-01-01 00:00:00
Repentless_Slayer,rock thrash,2015-09-11 00:00:00
SpeakEnglishOrDie(30thAnniversaryEdition)_S.O.D.,rock hardcore speedmetal,2016-04-05 00:00:00
SacramentOfDeath_CreepingDeath,rock thrash deathmetal,2016-06-02 00:00:00
SevenChurches_Possessed,rock thrash speedmetal deathmetal,1985-01-01 00:00:00
MorbidTales_CelticFrost,rock speedmetal heavymetal,1984-06-24 00:00:00
heNewOrder_estament,rock thrash speedmetal,1988-04-26 00:00:00
AliceInHell_Annihilator,rock thrash speedmetal heavymetal,1989-01-01 00:00:00
SoundOfWhiteNoise-ExpandedEdition_Anthrax,rock thrash heavymetal,2007-12-18 00:00:00
DrinkBleach_Blackbear,rock grindcore deathmetal,2016-06-17 00:00:00
Bleach_Nirvana,rock grunge,1989-06-15 00:00:00
Badmotorfinger(SuperDeluxeEdition_Soundgarden,rock alternativerock hardrock grunge,2016-11-18 00:00:00
NoCode_PearlJam,rock alternativerock grunge,1996-08-06 00:00:00
Dirt_AliceInChains,rock hardrock grunge,1992-01-01 00:00:00
SixteenStone(Remastered_Bush,rock grunge,1994-12-06 00:00:00
ComeAsYouAre_TurnpikeTroubadours,rock alternativerock grunge,2016-07-22 00:00:00
SuperfuzzBigmuff(DeluxeEdition_Mudhoney,rock grunge,1988-10-01 00:00:00
Nimrod_GreenDay,rock grunge poprock punk,1997-10-14 00:00:00
Binaural_PearlJam,rock alternativerock grunge,2000-01-01 00:00:00
StonerWitch_Melvins,rock alternativerock grunge,1994-09-27 00:00:00
JarOfFlies_AliceInChains,rock alternativerock,1994-01-01 00:00:00
CelebritySkin_Hole,rock alternativerock grunge,1998-01-01 00:00:00
RazorbladeSuitcase(Remastered_Bush,rock grunge,1996-11-19 00:00:00
UltramegaOK_Soundgarden,rock hardrock grunge,1988-10-31 00:00:00
PennyroyalTea_MySoundOfSilence,rock grunge,2016-03-11 00:00:00
Contraband_VelvetRevolver,rock alternativerock grunge,2004-01-01 00:00:00
AbbeyRoad(Remastered_TheBeatles,rock poprock,1969-09-26 00:00:00
Rumours_FleetwoodMac,rock poprock,1977-02-04 00:00:00
Revolver(Remastered_TheBeatles,rock psychedelicrock poprock,1966-08-05 00:00:00
BornInTheUSA_BruceSpringsteen,rock poprock,1984-08-21 00:00:00
LetItBe(Remastered_TheBeatles,rock poprock,1970-05-08 00:00:00
LetsDance_DavidBowie,rock pop poprock dancepop,1983-04-14 00:00:00
BridgeOverTroubledWater_Simon&Garfunkel,rock folkrock poprock gospel rockroll,1970-01-26 00:00:00
AnarchyInTheUK_PJProby,rock punk,1987-01-01 00:00:00
TheHuntingParty_LinkinPark,rock hardrock alternativerock,2014-06-13 00:00:00
LIVINGTHINGS_LinkinPark,electronic rock alternativerock,2012-06-20 00:00:00
AThousandSuns_LinkinPark,hiphop rock alternativerock industrial,2010-09-13 00:00:00
Meteora_LinkinPark,rock numetal,2003-03-24 00:00:00
HybridTheory(BonusTrackVersion_LinkinPark,electronic hiphop rock alternativerock numetal breakbeat hiphop industrial,2000-10-24 00:00:00
LiveInTexas_LinkinPark,rock numetal,2003-11-18 00:00:00
Day&Age_TheKillers,electronic rock newwave synthpop indierock,2008-01-01 00:00:00
Sawdust_TheKillers,electronic rock house synthpop indierock,2007-01-01 00:00:00
BattleBorn(DeluxeEdition_TheKillers,electronic rock pop alternativerock poprock synthpop indierock,2012-09-18 00:00:00
BeHereNow(DeluxeEdition[Remastered_Oasis,rock blues nonmusic pop folkworldcountry,2016-10-21 00:00:00
DigOutYourSoul_Oasis,rock britpop poprock indierock,2008-10-07 00:00:00
DontBelieveTheTruth_Oasis,rock rockroll britpop indierock,2005-05-31 00:00:00
HeathenChemistry_Oasis,rock pop britpop alternativerock,2002-07-02 00:00:00
TheMasterplan_Oasis,rock britpop indierock,1998-11-02 00:00:00
WhatsTheStoryMorningGlory(DeluxeEdition[Remastered_Oasis,rock pop britpop,1995-10-02 00:00:00
StandingOnTheShoulderOfGiants_Oasis,rock alternativerock psychedelicrock,2000-02-28 00:00:00
DefinitelyMaybe(Remastered[DeluxeEdition_Oasis,rock indierock britpop,1994-08-29 00:00:00
TheMagicWhip_Blur,rock indierock alternativerock,2015-04-24 00:00:00
Parklive_Blur,electronic rock pop alternativerock britpop indierock,2012-08-13 00:00:00
ThinkTank_Blur,electronic rock leftfield alternativerock indierock,2003-04-21 00:00:00
_Blur,rock alternativerock experimental indierock,1998-03-15 00:00:00
Blur[SpecialEdition_Blur,rock britpop,1997-02-10 00:00:00
TheGreatEscape[SpecialEdition_Blur,rock britpop indierock,1995-09-11 00:00:00
ModernLifeIsRubbish[SpecialEdition_Blur,rock britpop,1993-05-10 00:00:00
Leisure_Blur,rock indierock,1991-08-26 00:00:00
TalkThatTalk_Rihanna,rock pop,2011-11-19 00:00:00
Lotus(DeluxeVersion_ChristinaAguilera,pop vocal,2012-11-09 00:00:00
Bionic(DeluxeVersion_ChristinaAguilera,electronic hiphop pop electro synthpop,2010-06-04 00:00:00
Justified_JustinTimberlake,pop,2002-11-04 00:00:00
Starboy_TheWeeknd,funksoul contemporaryrb,2016-09-22 00:00:00
KMagic_BrunoMars,funksoul pop,2016-11-17 00:00:00
UnorthodoxJukebox_BrunoMars,electronic rock funksoul pop rhythmblues poprock electro,2012-12-07 00:00:00
ThisIsActing_Sia,electronic hiphop reggae pop indiepop ballad electro dancepop,2016-01-29 00:00:00
CheapThrills_Sia,rock folkrock bluesrock psychedelicrock,2016-02-11 00:00:00
WeAreBorn_Sia,pop,2010-06-21 00:00:00
FormsOfFear_Sia,electronic hiphop pop indiepop ballad electro trap,2014-07-04 00:00:00
Invincible_MichaelJackson,pop,2001-10-29 00:00:00
Dangerous_MichaelJackson,electronic hiphop rock rnbswing poprap poprock disco,1991-11-13 00:00:00
RebelHeart(Deluxe_Madonna,electronic hiphop reggae pop europop dancepop poprap house electro trap,2015-03-10 00:00:00
MDNA(DeluxeVersion_Madonna,electronic pop house europop electro,2012-03-26 00:00:00
HardCandy_Madonna,electronic hiphop pop rnbswing synthpop hiphop,2008-04-19 00:00:00
Erotica(PAVersion_Madonna,electronic pop dancepop downtempo synthpop,1992-10-20 00:00:00
LikeAPrayer_Madonna,electronic pop synthpop,1989-03-21 00:00:00
RayOfLight(USVersion_Madonna,electronic pop synthpop,1998-03-03 00:00:00
_Adele,funksoul blues pop ballad neosoul pianoblues,2016-06-24 00:00:00
InTheLonelyHour_SamSmith,electronic pop vocal ballad synthpop,2014-01-01 00:00:00
SoFarGone_Drake,hiphop,2008-09-15 00:00:00
NothingWasTheSame(Deluxe_Drake,hiphop,2013-01-01 00:00:00
Views_Drake,hiphop,2016-05-13 00:00:00
TGODMafiaRudeAwakening_JuicyJ,hiphop,2016-06-03 00:00:00
ShowAndProve_WizKhalifa,hiphop hardcorehiphop,2006-09-05 00:00:00
PrinceOfTheCity2_WizKhalifa,rock funksoul soul poprock synthpop funk disco,2007-11-20 00:00:00
FlightSchool_WizKhalifa,electronic disco house,2009-04-17 00:00:00
DealOrNoDeal_WizKhalifa,hiphop,2009-11-24 00:00:00
BlaccHollywood(Deluxe_WizKhalifa,hiphop pop,2014-08-19 00:00:00
TheMarshallMathersLP_Eminem,hiphop poprap hardcorehiphop horrorcore,2000-01-01 00:00:00
Encore(Deluxe_Eminem,hiphop,2004-11-04 00:00:00
CurtainCall(Deluxe_Eminem,hiphop,2005-01-01 00:00:00
RelapseRefill_Eminem,hiphop thugrap poprap,2009-12-21 00:00:00
Recovery_Eminem,hiphop gangsta hiphop,2010-06-21 00:00:00
TheMarshallMathersLP(Deluxe_Eminem,hiphop,2013-01-01 00:00:00
GetRichOrDieTryin(ExplicitVersion_Cent,hiphop gangsta,2003-01-01 00:00:00
BulletProof_Cent,electronic house disco,2007-01-30 00:00:00
BeforeISelfDestruct_Cent,hiphop gangsta poprap thugrap,2009-11-16 00:00:00
AnimalAmbitionAnUntamedDesireToWin_Cent,hiphop,2014-06-03 00:00:00
ATLiens_OutKast,hiphop,1996-08-27 00:00:00
CozyTapesVol1Friends-_AAPMob,electronic hiphop hiphop,2016-10-31 00:00:00
UsedToThis_Future,hiphop,2016-11-04 00:00:00
BlackSunday_CypressHill,hiphop gangsta,1993-07-20 00:00:00
Indicud_KidCudi,hiphop,2013-04-16 00:00:00
LONGLIVEAAP(DeluxeVersion_AAPRocky,hiphop thugrap,2013-01-11 00:00:00
SupaDupaFly_MissyElliott,hiphop,1997-07-11 00:00:00
OriginOfSymmetry(New0Version_Muse,rock alternativerock,2001-01-01 00:00:00
ThisIsWar_ThirtySecondsToMars,rock alternativerock progrock arenarock,2009-12-04 00:00:00
SongsForTheDeaf_QueensOfTheStoneAge,rock stonerrock,2002-01-01 00:00:00
MyOwnLane_KidInk,hiphop,2014-01-07 00:00:00
Yeezus_KanyeWest,hiphop,2013-06-18 00:00:00
HallOfFame(Deluxe_BigSean,hiphop,2013-08-27
